User_Query,Expected_URL,Expected_Ans,Expected_Title
Do I need a guarantor?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"NO gurantor is required, a co-applicant is required if the applicant is between 18-21 years",Do I need a guarantor?
How long will it take to process the loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Decision on your two wheeler loan will be done within 2 minutes, we also have an online wesbite journey where in you can fill in the details and get an approval instantly. ",How long will it take to process the loan?
"​​If I don’t have an account with IDFC FIRST Bank, can I still avail of Two Wheeler Loan?",https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Yes, you can still avail a two wheeler loan from IDFC FIRST Bank.","​​If I don’t have an account with IDFC FIRST Bank, can I still avail of Two Wheeler Loan?"
Who can apply for an IDFC FIRST Bank Two Wheeler Loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"IDFC FIRST Bank offers instant Two Wheeler Loans to both Salaried and Self-employed individuals.

1. Salaried individuals must be minimum 21 years of age at the time of application and should have completed minimum 6 months in their current job to qualify for our best two wheeler loan interest rate.                                       

2. Self-employed individuals and business owners should be minimum 21 years of age at the time of application. They should have been in business for minimum 2 years before you become eligible to apply. ",Who can apply for an IDFC FIRST Bank Two Wheeler Loan?
How can I apply for an IDFC FIRST Bank Two Wheeler Loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"IDFC FIRST Bank provides a two wheeler loan on easy terms; through various channels. 

 

Via Digital Channels – You can fill in the application form through our mobile app or website and, if eligible, you can get an approval instantly. Our Sales Officer at empanelled dealerships will get in touch with you shortly for further processing. 

Via Partner Showrooms - You can also walk into any of our partner two-wheeler showrooms, where our representative will help you complete all required formalities, and inform you if you are eligible for a loan on the spot. Once your loan application is approved, you can ride out with the two-wheeler of your choice.",How can I apply for an IDFC FIRST Bank Two Wheeler Loan?
Can I get a Two Wheeler Loan online?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Yes, it is possible to obtain a Two Wheeler Loan online approval . We also offer one of the best two wheeler loan interest rates in the industry. You can either visit our website here, or download our mobile app from Google Play or Apple App Store, and fill in your details. We will check if you are eligible for our Two Wheeler loan interest rate, and provide you with an approval instantly, if eligible.",Can I get a Two Wheeler Loan online?
Do I need to visit an IDFC FIRST Bank branch to get a two wheeler loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"No. You don't need to visit our branch to get access to our best two wheeler loan interest rate. You can get Two Wheeler Loans from –

Via Digital Channels – You can fill in the application form through our mobile app or website and, if eligible, you can get an approval instantly. Our Sales Officer at empanelled dealerships will get in touch with you shortly for further processing. 

Via Partner Showrooms - You can also walk into any of our partner two-wheeler showrooms, where our representative will help you complete all required formalities, and inform you if you are eligible for a loan on the spot. Once your loan application is approved, you can ride out with the two-wheeler of your choice.",Do I need to visit an IDFC FIRST Bank branch to get a two wheeler loan?
Can I pre-pay the entire loan amount?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Yes, your Two-Wheeler Loan can be forclosed by paying 5% at the point of sale.",Can I pre-pay the entire loan amount?
What is the Two Wheeler Loan repayment process?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"I apologize, I may not have fully understood your request, or the feature you asked about is not yet supported. However, please feel free to ask if there's anything else I can help you with.
Connect with Banker",What is the Two Wheeler Loan repayment process?
What is hypothecation of the vehicle?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"Hypothecation is the process wherein you pledge the ownership of your vehicle to the lender. Once you take a vehicle loan, the hypothecation request is submitted to the regional transport officer with the loan details. Even though the vehicle's ownership remains with the lender, your name and address are mentioned in the vehicle's RC book. It means you will be legally liable for everything related to the vehicle. Once you have completely paid your loan off, you should get the hypothecation removed. You cannot sell your vehicle without removing it.",What is hypothecation of the vehicle?
What are different modes of payment ?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"You can make a payment online through the IDFC FIRST Bank Mobile App, UPI, Net Banking, Cash at the branch or through standing instructions/NACH",What are different modes of payment ?
What are the points of contact for customers post the disbursement of loan?,https://www.idfcfirstbank.com/personal-banking/loans/two-wheeler-loan#faqs,"You may reach us at IDFC FIRST Bank Branch or Loan Centre, Our customer service number 1800 10 888 or through our chatbot on the IDFC FIRST Bank Mobile Banking App",What are the points of contact for customers post the disbursement of loan?
Why apply for a pre-owned two wheeler loan and how can I get one?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"A pre-owned two wheeler loan helps you purchase a used two wheeler of your choice, and pay for it in equated monthly instalments (EMIs). Our loans are available for both salaried and self-employed individuals.

IDFC FIRST Bank provides a pre-owned two wheeler loan on easy terms; all you have to do is - fill in the application form through our mobile app or website and, if eligible, you can get an approval instantly. Our Sales Officer at empaneled dealerships will get in touch with you shortly for further processing. Alternatively, you can also walk into any of our partner pre- owned two-wheeler showrooms, where our representative will help you complete all required formalities, and inform you if you are eligible for a loan on the spot. Once your loan application is approved, you can ride out with a two-wheeler of your choice.",Why apply for a pre-owned two wheeler loan and how can I get one?
Do I need to make a down payment or pay margin money on pre-owned two wheeler loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"Yes, but be rest assured that at IDFC FIRST Bank, the down payment for a pre-owned two wheeler loan is just a small amount you need to pay at the vehicle dealership, and is only the difference between on the on-road price of the two wheeler amount and the loan sanctioned to you. Once you get a pre-owned two wheeler loan online approval, you will be able to get up to 90% of the vehicle's cost as a loan at our best pre-owned two wheeler loan interest rate. This ensures that the down payment or margin money is always a small component and will not come in the way of you becoming the owner of your favourite two wheeler.",Do I need to make a down payment or pay margin money on pre-owned two wheeler loan?
Do I need a guarantor?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"NO gurantor is required, a co-applicant is required if the applicant is between 18-21 years",Do I need a guarantor?
How long will it take to process the loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"Decision on your two wheeler loan will be done within 2 minutes, we also have an online wesbite journey where in you can fill in the details and get an approval instantly. ",How long will it take to process the loan?
"​​If I don’t have an account with IDF FIRST Bank, can I still avail of Two Wheeler Loan?",https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"Yes, you can still avail a two wheeler loan from IDFC FIRST Bank.","​​If I don’t have an account with IDF FIRST Bank, can I still avail of Two Wheeler Loan?"
How do I know if I am eligible for a pre-owned two wheeler loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,We carry out an assessment and inform you whether you meet our eligibility criteria so you can get access to our best two wheeler loan interest rate. You should ideally meet the following criteria: You should be above 21 years of age (18 years with co-applicant). You should have been in employment for at least 6 months or been running a business for at least 2 years. ,How do I know if I am eligible for a pre-owned two wheeler loan?
Can I receive a pre-owned two wheeler loan online?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"Yes, it is possible to obtain a pre-owned two wheeler loan online approval. We also offer one of the best pre-owned two wheeler loan interest rates in the industry. You can either visit our website here and fill in your details. We will check if you are eligible for our pre-owned two wheeler loan interest rate, and provide you with an approval instantly, if eligible.",Can I receive a pre-owned two wheeler loan online?
Do I need to visit an IDFC FIRST Bank branch to get a pre-owned two wheeler loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"You don't need to visit our branch to get access to our best pre-owned two wheeler loan interest rate. We are present at all major dealerships in cities across India and our representative present there will be glad to help you. Our decision on your application is processed instantly so that you can get possession of your vehicle without delays. You also have the option to apply for the loan through our website or mobile app wherein you get a pre-owned two wheeler loan online approval instantly. Our Sales Officer at empaneled dealerships will get in touch with you shortly post approval for further processing. Alternatively, you can also walk into any of our partner pre-owned two-wheeler showrooms",Do I need to visit an IDFC FIRST Bank branch to get a pre-owned two wheeler loan?
What is the pre-owned two wheeler loan repayment process?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"You will need to repay your pre-owned two wheeler loan through Equated Monthly Instalments or EMIs, wherein you pay a fixed amount each month, until your loan is repaid. Every instalment of the loan that you repay will be partly made up of principal repayment and partly of interest payment. Once you complete your loan repayment, you can apply for the removal of hypothecation on your vehicle and you will gain complete ownership.",What is the pre-owned two wheeler loan repayment process?
What is hypothecation?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"Hypothecation is the process wherein you pledge the ownership of your vehicle to the lender. Once you take a vehicle loan, the hypothecation request is submitted to the regional transport officer with the loan details. Even though the vehicle's ownership remains with the lender, your name and address are mentioned in the vehicle's RC book. It means you will be legally liable for everything related to the vehicle. Once you have completely paid your loan off, you should get the hypothecation removed. You cannot sell your vehicle without removing it.",What is hypothecation?
What are different modes of payment ?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"You can make a payment online through the IDFC FIRST Bank Mobile App, UPI, Net Banking, Cash at the branch or through standing instructions/NACH",What are different modes of payment ?
What are the touch points of contacts for customers post disbursement of loan?,https://www.idfcfirstbank.com/personal-banking/loans/pre-owned-two-wheeler-loans#faqs,"You may reach us at IDFC FIRST Bank Branch or Loan Centre, Our customer service number 1800 10 888 or through our chatbot on the IDFC FIRST Bank Mobile Banking App",What are the touch points of contacts for customers post disbursement of loan?
What is a Commercial Vehicle Loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,A commercial vehicle loan is taken by an individual or institution to fund the purchase of commercial vehicles.,What is a Commercial Vehicle Loan?
Which commercial vehicle finance options are available at IDFC FIRST Bank?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,We offer commercial vehicle finance for the purchase of new and used commercial vehicles. We also provide refinancing options for pre-owned vehicles. We have balance transfer options too and much more.,Which commercial vehicle finance options are available at IDFC FIRST Bank?
What is Refinance on Commercial Vehicle?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,Refinance on commercial vehicle is a facility through which businessmen can get a loan on their existing commercial vehicle. It allows them to get instant funds for any business need.,What is Refinance on Commercial Vehicle?
Do you finance the body construction as well?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,The finance for body construction is extended depending upon customer’s profile and our internal policies.,Do you finance the body construction as well?
Who can apply for Commercial Vehicle loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"We offer our Commercial Vehicle Loan to any individual, proprietorship concern, partnership firm, companies (private limited & public limited), one person company, Limited Liability Partnership, trusts, societies & HUF.

",Who can apply for Commercial Vehicle loan?
How is the commercial vehicle loan interest rate charged/calculated?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,The commercial vehicle loan interest rate is charged on a fixed rate basis and is dependent on the applicable scheme for a particular product.,How is the commercial vehicle loan interest rate charged/calculated?
Is a personal guarantor/co-applicant required for a Commercial Vehicle Loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,The requirement for a guarantor/co-applicant is based on our customer’s profile and our internal policies.,Is a personal guarantor/co-applicant required for a Commercial Vehicle Loan?
Do I need to provide any security or collateral for a Commercial Vehicle Loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"No additional collateral is required for Commercial Vehicle Loan. Vehicle financed is the primary collateral. However in case of Refinance on Commercial Vehicle, the vehicle on which the financing is extended is considered as collateral.",Do I need to provide any security or collateral for a Commercial Vehicle Loan?
Why should I get a Commercial Vehicle Loan from IDFC FIRST Bank?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"IDFC FIRST Bank's Commercial Vehicle Loan comes loaded with many exciting features like –

Up to 100% on-road funding
Hassle-free loan sanction process
Simple documentation and faster decision process
Longer loan tenures up to 7 years & moratorium period up to 90 days
No hidden charges & complete transparency
One-point contact – Dedicated Relationship Manager
Competitive pricing",Why should I get a Commercial Vehicle Loan from IDFC FIRST Bank?
How do I approach IDFC FIRST Bank for a Commercial Vehicle Loan?/ How can I apply for an IDFC FIRST Bank Commercial Vehicle Loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"There are many ways to avail a commercial vehicle loan from IDFC FIRST Bank. Here’s a list of the many ways you can do so:

Apply online on our website - <link>
Call us on our 24-hour customer care - 1800 10888
Walk into any of our branches
Contact any of our direct sales personnel",How do I approach IDFC FIRST Bank for a Commercial Vehicle Loan?/ How can I apply for an IDFC FIRST Bank Commercial Vehicle Loan?
What is the maximum Commercial Vehicle Loan amount I can avail from IDFC FIRST Bank?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"While we offer upto 100% on road funding, our loan amount is dependent on our customer’s profile and our internal policies.",What is the maximum Commercial Vehicle Loan amount I can avail from IDFC FIRST Bank?
What is the commercial vehicle loan repayment tenure offered at IDFC First Bank?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"IDFC FIRST Bank Commercial Vehicle Loan offers flexible repayment tenure which may vary from 12 to 84 months, depending upon customer’s profile and our internal policies.",What is the commercial vehicle loan repayment tenure offered at IDFC First Bank?
How do I repay my commercial loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"We offer various repayment modes for your Commercial Vehicle Loan including: 

Digital Mandate
E Mandate
Digital Standing Instruction (in the case of IDFC FIRST Bank account holders)
Physical mandate/Physical Standing Instruction",How do I repay my commercial loan?
Can I foreclose or prepay my commercial vehicle loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"Yes, Prepayment of the loan is allowed. The same can be availed at a charge indicated on the schedule page of the loan agreement.",Can I foreclose or prepay my commercial vehicle loan?
Can I sell the vehicle / asset before I repay the loan?,https://www.idfcfirstbank.com/business-banking/loans/commercial-vehicle-loan#faqs,"No, you cannot sell the vehicle / asset unless your loan account has zero outstanding.",Can I sell the vehicle / asset before I repay the loan?
How to check Mutual Fund KYC status?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"Investors can check their KYC status on https://www.cvlkra.com/. Just follow these steps

Click “KYC Inquiry” > Enter “PAN” & “Captcha Code” in the required field > Click on “Submit” > Your KYC status will be displayed.",How to check Mutual Fund KYC status?
What is a Mutual Fund?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"A mutual fund is a pool of money managed by a professional Fund Manager by investing in equities, bonds, money market instruments and/or other securities. The income / gains generated from this collective investment is distributed proportionately amongst the investors after deducting applicable expenses.",What is a Mutual Fund?
What is a Systematic Investment Plan (SIP)?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,A SIP allows an investor to invest regularly. One puts in a small amount every month that is invested in a mutual fund. A SIP allows one to take part in the stock market without trying to second-guess its movements.,What is a Systematic Investment Plan (SIP)?
What are the types of Mutual Funds?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"Equity Funds- Equity Funds primarily invest in equity shares. Minimum 65% in equity shares is mandatory for Equity funds. They carry the principal objective of capital appreciation of the investment over a medium to long-term investment horizon.  The size of an equity fund is determined by a market capitalization, while the investment style, reflected in the fund's stock holdings, is also used to categorize equity mutual funds.
Debt Funds- Debt Funds invest in fixed-income securities like bonds, securities and treasury bills – Fixed Maturity Plans (FMPs), Gilt Fund, Liquid Funds, Short Term Plans, Long Term Bonds and Monthly Income Plans among others – with fixed interest rate and maturity date.
Hybrid / Balanced Funds- Hybrid funds invest in both debt instruments and equities to achieve maximum diversification. They are ideal for medium- to long-term investors willing to take moderate risks.
Gold Funds- Gold funds invest directly or indirectly invest in gold reserves. Investments are usually made on stocks of gold producing and distributing syndicates, physical gold, and on stocks of mining companies. It is a convenient way to invest in an asset without having to purchase the commodity in its physical form.",What are the types of Mutual Funds?
What are the benefits of investing in Mutual Funds?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"For investors, there are various benefits of investing through mutual funds:

Professional Management
Tax efficiency
Liquidity
Regulatory transparency.
Diversification
Convenience",What are the benefits of investing in Mutual Funds?
What happens when an SIP payment is missed in-between?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"Since SIPs are a long-term investment option, it is fine if you skip a few payments in-between. Investments made so far will continue to earn a return and you can withdraw it anytime. However, you would accumulate lower wealth than what you had initially expected and may miss your financial goals if you are too irregular. ",What happens when an SIP payment is missed in-between?
What are the expenses incurred in a Mutual Fund scheme?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,The offer document indicates the maximum-allowed expense ratio for each scheme you are considering to invest. The monthly fact sheet and the half-yearly mandatory disclosures allow you to see the actual expenses charged per scheme.,What are the expenses incurred in a Mutual Fund scheme?
Can the SIP tenure be changed after investments have started?,https://www.idfcfirstbank.com/personal-banking/investment/mutual-fund#faqs,"Investing in Mutual Fund through SIP offers a lot of flexibility. Investors can control the amount they want to invest, tenure for which they want to invest, frequency with which they want to invest (weekly, monthly, quarterly, etc.).",Can the SIP tenure be changed after investments have started?
