ID,User_Query,Expected_UrL,Expected_Ans,Expected_Title,,,,,,,
17,"Can I continue with my IDFC FIRST Bank Salary Account, if I change my job?",https://www.idfcfirstbank.com/personal-banking/accounts/corporate-salary-account#faqs,"Yes, you can continue with your existing account. You would need to intimate your employer about your existing IDFC FIRST Bank details, so that the monthly salary credits can be routed through the same account.","Can I continue with my IDFC FIRST Bank Salary Account, if I change my job?",,,,,,,
18,Know more about IDFC FIRST Bank Savings Account Interest Rates.,https://www.idfcfirstbank.com/personal-banking/accounts/corporate-salary-account#faqs,"IDFC FIRST Bank's Savings Account is our testament to putting our customers first. We offer one of the industry’s best savings account interest rates at up to 6.75% p.a.

What's more, you earn this interest on progressive balances in each interest rate slab, as applicable. That means you earn every single day. We pay out this interest every month.

Hurry and make the most of this unique opportunity. Click here to know more (https://www.idfcfirstbank.com/personal-banking/accounts/savings-account/interest-rate).

Please note that interest rates are subject to periodic change.",Know more about IDFC FIRST Bank Savings Account Interest Rates.,,,,,,,
19,What is the eligibility criterion for opening Senior Citizen Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,Senior Citizen Savings Account can be opened by any individual over 60 years.,What is the eligibility criterion for opening Senior Citizen Savings Account?,,,,,,,
20,How does the monthly interest credit for savings account work?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"For the convenience of our customers, the Bank will credit interest to customers’ savings accounts on a monthly basis. The earlier facility of interest credit on quarterly basis on savings accounts will be discontinued from June 30, 2021. The Bank is among the few in the industry to offer monthly interest credit on savings accounts.",How does the monthly interest credit for savings account work?,,,,,,,
21,Can a person below the age of 60 years open a joint account with a senior citizen?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"Yes, the senior savings account can be opened. However, the primary applicant needs to be 60 years or above",Can a person below the age of 60 years open a joint account with a senior citizen?,,,,,,,
22,What is the initial pay in amount required for opening your IDFC FIRST Bank Senior Citizen Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"A minimum amount of ₹25,000 or ₹10,000 is required to open IDFC FIRST Senior Citizen Savings Account. You can choose to open a savings account with higher amount also to get better interest rate.",What is the initial pay in amount required for opening your IDFC FIRST Bank Senior Citizen Savings Account?,,,,,,,
23,What is the minimum account balance required to be maintained monthly in the IDFC FIRST Bank Senior Citizen Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"The average monthly balance required is ₹25,000 or ₹10,000. Please click here to see the applicable Schedule of Charges.",What is the minimum account balance required to be maintained monthly in the IDFC FIRST Bank Senior Citizen Savings Account?,,,,,,,
24,How is the average monthly balance (AMB) calculated?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"Every day, from the 1st to the end of the month, we take the balance in your account at the end of the day. We total them all up, and divide by the number of the days in the month. That's it!",How is the average monthly balance (AMB) calculated?,,,,,,,
25,What is the frequency of interest pay-out of Senior Citizen Savings Account?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,Interest earned on Senior Citizen Savings Account balance shall be credited to your account on a monthly basis.,What is the frequency of interest pay-out of Senior Citizen Savings Account?,,,,,,,
26,Will there be an option to transfer excess funds available in Senior Citizen Savings Account to Fixed Deposit and earn a higher rate of interest?,https://www.idfcfirstbank.com/personal-banking/accounts/senior-citizens-savings-account#faqs,"Yes, once the balance in your Senior Citizen Account exceeds ₹75,000, the amount in excess of ₹50,000 can automatically be transferred to a Fixed Deposit for a tenure of 1 year 1 day. The funds are still available to automatically sweep-in, if needed.",Will there be an option to transfer excess funds available in Senior Citizen Savings Account to Fixed Deposit and earn a higher rate of interest?,,,,,,,
27,How do I access my IDFC FIRST Bank NRE Savings account online?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"You can access your NRE account through internet banking or on the mobile app.

The first thing you need to do is create your own User ID & Password. We don’t send you hard to remember user ID & PINs. All you need is your Customer ID (this was sent you on e-mail after your account was opened) and mobile number, follow the steps on https://my.idfcbank.com/start and you will be done in no time. You can also create your user ID & PIN on our mobile app. The mobile APP is also M-PIN/ Biometric auth-enabled to allow simple & secure log-in.

Please note that your Internet Password should be:

Easy to recall, yet discreet and not decipherable to others
A minimum of 8 and maximum of 16 characters
Alphanumeric
Without blank spaces
Not contain the following special characters "", <, >, /, &, %",How do I access my IDFC FIRST Bank NRE Savings account online?,,,,,,,
28,How do I update contact information for my NRE Savings Account?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"It is critical that you keep your contact information with the bank updated at all times. You can change e-mail address on internet banking. To update your mobile number, please send an e-mail from your registered e-mail ID to nriservice@idfcfirstbank.com. We will call you back on your existing registered mobile number to verify your request and identity for your protection, before updating your mobile number.",How do I update contact information for my NRE Savings Account?,,,,,,,
29,What documents are required to establish I am an NRI to open an NRE bank account?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"Identity Proof: Passport
Non Resident Status Proof: Visa / PIO card/ Foreign Passport with PIO declaration/ Continuous Discharge Certificate with Valid contract letter for seafarers / Resident Permit/ Resident Card.
Overseas Address Proof (Any one of the following documents having your overseas address): Passport, Driving license, National Id /Government issued ids, Latest utility bill (mobile/gas/electricity/telephone), Latest savings bank statement from a transactional account, Council tax bill, Resident Permit, Voter id/Electoral card.",What documents are required to establish I am an NRI to open an NRE bank account?,,,,,,,
30,Who can open an NRO Account?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"Two key criteria determine whether you are eligible to open an NRO account with a bank in India

You need to be an Indian citizen living outside of India for an uncertain period of time (like being employed, pursuing education or carrying out any business/vocation)
You need to be an Indian national or of Indian Origin (Person of Indian Original/Overseas Citizen of India)",Who can open an NRO Account?,,,,,,,
31,How do I transfer funds into my IDFC FIRST Bank NRO account from overseas?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"International Wire Transfer: You can wire funds from your overseas bank account to your IDFC FIRST Bank NRO Account. It normally takes 2-3 business days for the funds to reflect in your account after your overseas bank has initiated this international wire transfer. Funds transferred to your NRO account are available for use as soon as they are credited. The exchange rate applied for your transfer will be the exchange rate on the date on which we receive funds in your account.

Our NRO bank account does not charge a fee for incoming wire transfers, however your local bank overseas may charge a fee for sending international wires. Your bank will require information such as your NRO account details, beneficiary details and routing number. For your convenience, you can complete the details below, print the form and provide to your bank to initiate the wire transfer from your account.

Online Remittance through third party portals: Your IDFC FIRST Bank accounts are enabled to receive credit from Online/Third Party remittance providers. All you need to do is add your IDFC FIRST Bank Account as a beneficiary; most remittance providers will be able to directly credit your IDFC FIRST Bank Account. Exchange rates and time taken are determined by the remittance provider and not by IDFC FIRST Bank.",How do I transfer funds into my IDFC FIRST Bank NRO account from overseas?,,,,,,,
32,"I am a foreign national of Indian origin, but I do not have a PIO/OCI Card?",https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"We recommend you apply for an Overseas Citizen of India(OCI) card as soon as possible. Details are available at http://boi.gov.in/content/overseas-citizen-india-oci-cardholder or http://www.mea.gov.in/oci-related-matters.htm. If you do not have a PIO/OCI card, you would qualify to open an NRO account subject to fulfilling any of the following conditions – 

You previously held an Indian passport
You were eligible to become a citizen of India on 26th January or any date after that
You belonged to a territory that became part of India after 15th August,1947(for e.g. Sikkim, Goa, Daman, Diu)
You are a child or a grandchild or a great grandchild of such a person above
You are a minor child of such person mentioned above
You are a minor child whose parent/parents is/are Citizens of India
Besides, spouse of foreign origin of a citizen of India or spouse of foreign origin of an Overseas Citizen of India Cardholder and whose marriage has been registered and subsisted for a continuous period of not less than two years immediately preceding the presentation of the application is also eligible for registration as OCI cardholder.

However, no person, who or either of whose parents or grandparents or great grandparents is or had been a citizen of Pakistan, Bangladesh or such other country as the Central Government may, by notification in the Official Gazette, specify, shall be eligible for registration as an Overseas Citizen of India Cardholder.

In most cases a copy of current/expired/surrendered Indian passport would need to be provided to satisfy any of the points above.","I am a foreign national of Indian origin, but I do not have a PIO/OCI Card?",,,,,,,
33,I would like to terminate my Term Deposits before maturity? Will I lose any money?,https://www.idfcfirstbank.com/nri-banking/nri-savings-account/nre-savings-account#faqs,"Withdrawal of any Term Deposit prior to the original maturity date is called pre-termination. You can pre-terminate a deposit at any time. However, if you pre-terminate a deposit before the minimum tenure of the deposit, then no interest will be paid.

The minimum tenure for Non-Resident External Deposits and Foreign Currency Non-Resident Deposits is 1 year and the minimum tenure for Non-Resident Ordinary Deposits is 7 days.

If you pre-terminate a Term Deposit, after you complete the minimum tenure of the deposit, you will earn interest proportionate to period the deposit has been held with the bank less the applicable penalty. The current penal interest is 1%. There no premature penal charges for FCNR deposits being closed after the minimum tenure. This premature penalty would be applicable only for deposits booked or renewed after May 1, 2019.",I would like to terminate my Term Deposits before maturity? Will I lose any money?,,,,,,,
34,Who can open a TASC Savings Account?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"1. Societies registered under the Societies Registration Act, 1860, or any other corresponding law in force in a State or a Union Territory, except societies registered under the State Co-operative Societies Acts and specific state enactment creating Land Mortgage Banks.

2. Section 25 Companies (as per Companies Act, 1956) or Section 8 Companies (as per Companies Act,2013)

3. Institutions/entities whose entire income is exempt from payment of income-tax under Income-Tax Act, 1961

4. Government departments/bodies/agencies in respect of grants/ subsidies released for implementation of various programmes/ schemes sponsored by Central/State Government (subject to production of an authorisation from the respective Government departments to open a savings bank account)

5. Development of Women and Children in Rural Areas (DWCRA)

6. Self-Help Groups (SHGs), registered or unregistered, which are engaged in promoting savings habits among their members.",Who can open a TASC Savings Account?,,,,,,,
35,What is a Self-Help Group?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"A Self-Help Group (SHG) is a small voluntary, informal association of people, preferably from the same socio-economic background. They come together to inculcate a habit of savings among their members through self-help and mutual help. The SHG promotes small savings among its members. The savings are kept with a bank.

In terms of banking, an SHG comprises of 10-20 members who are brought together normally by NGOs, and are encouraged to take up livelihood activities like tailoring, handicrafts, fabric making from e-charkhas etc., The members save individually and these savings can be lent to any of the members in time of their need. Some banks also lend to SHGs.

As per regulations, SHGs are allowed to open Savings Accounts",What is a Self-Help Group?,,,,,,,
36,What is AMB and how is it calculated for IDFC FIRST Bank Dynamic TASC account?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"AMB or Average Monthly Balance of your Dynamic TASC account is the average of the day-end balance in the account for all the days in a month. 

Every day, from the 1st to the end of the month, we take the balance in your account at the end of the day. We total them all up and divide by the number of days in the month. That’s it!",What is AMB and how is it calculated for IDFC FIRST Bank Dynamic TASC account?,,,,,,,
37,What are the modes through which one can track the IDFC FIRST Bank Dynamic TASC account?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"You can track your IDFC FIRST Bank Dynamic TASC account through the following modes:

·         Internet Banking & Mobile Banking

·         24x7 Banker on Call

·         Monthly email statements sent to registered email address

·         Alerts through email and SMS",What are the modes through which one can track the IDFC FIRST Bank Dynamic TASC account?,,,,,,,
38,What are the digital payment solutions available IDFC FIRST Bank Dynamic TASC for an account?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"Below are some of the digital payment and receivable solutions, available to TASC Current Account holders:

·         Free bulk upload facility on net banking

·         Payment Gateways

·         Virtual Accounts

·         UPI – QR

·         Point of Sales

·         API Integration

·         NACH/e-NACH",What are the digital payment solutions available IDFC FIRST Bank Dynamic TASC for an account?,,,,,,,
39,What is Transfer Funds Abroad Facility?,https://www.idfcfirstbank.com/business-banking/accounts/tasc-institutional-accounts#faqs,"Transfer Funds abroad, is a transfer of money in foreign exchange to a beneficiary situated outside the country (except for Nepal and Bhutan) for a purpose as approved under FEMA (Foreign Exchange Management Act).",What is Transfer Funds Abroad Facility?,,,,,,,
1,What is a Fixed Deposit?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,A Fixed Deposit account is an account where money is deposited for a specified period and the interest rate does not fluctuate during the period of the deposit.,What is a Fixed Deposit?,,,,,,,
2,What is the minimum deposit amount required for opening a Fixed Deposit scheme?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"The minimum amount required to open and avail the many benefits of Fixed Deposit account is ₹10,000/-",What is the minimum deposit amount required for opening a Fixed Deposit scheme?,,,,,,,
3,Can a Fixed Deposit scheme be withdrawn partially and what are the applicable premature withdrawal charges?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"Yes, the FD investment can be withdrawn partially. The penalty on premature withdrawal would be subject to 'Premature Closure Penalty' as prescribed by the Bank on the date of deposit.",Can a Fixed Deposit scheme be withdrawn partially and what are the applicable premature withdrawal charges?,,,,,,,
4,What is the eligibility criterion for availing this deposit for a Senior Citizen?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,Customers aged 60 years or above will be eligible for a Senior Citizen’s Fixed Deposit.,What is the eligibility criterion for availing this deposit for a Senior Citizen?,,,,,,,
5,What are the benefits of opening a Fixed Deposit account as a Senior Citizen?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,Senior Citizens earn additional interest of 0.5% per annum on deposits below ₹10 Crore.,What are the benefits of opening a Fixed Deposit account as a Senior Citizen?,,,,,,,
6,What are the Tax Saver Fixed Deposit features?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"This deposit is an FD with a lock-in period of 5 years, without the option of pre-mature withdrawal facility. Customers can avail tax benefits under section 80C of the Income Tax Act, 1961.",What are the Tax Saver Fixed Deposit features?,,,,,,,
7,What is the maximum amount/limit applicable for availing tax benefits available under Section 80C for Tax Saver Deposits?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"An FD investment of up to ₹1,50,000/- booked during the financial year is eligible for exemption under Section 80C.",What is the maximum amount/limit applicable for availing tax benefits available under Section 80C for Tax Saver Deposits?,,,,,,,
8,"In case of a joint deposit holding, who can claim tax exemptions under Section 80C of the Income Tax Act?",https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"In the case of joint deposits, the Tax benefit under 80C will be available only to the first holder of the deposit.","In case of a joint deposit holding, who can claim tax exemptions under Section 80C of the Income Tax Act?",,,,,,,
9,Is it mandatory to submit my PAN Card for booking an FD?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"If your PAN Card is submitted at the time of opening a Savings Account, it is not required again. However, if you don’t have a PAN, you will have to submit Form 60.",Is it mandatory to submit my PAN Card for booking an FD?,,,,,,,
10,What are the implications of booking this deposit without a PAN card?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"If you open Fixed Deposit without a PAN Card, these are the following implications for customers:

· TDS will be recovered at 20% (as against 10%).

· NO TDS credit from the Income Tax department.

· NO TDS certificate will be issued (As per CBDT circular no: 03/11).

· Form 15G/H and other exemption certificates will be invalid and penal TDS will apply",What are the implications of booking this deposit without a PAN card?,,,,,,,
11,When will the bank deduct tax on your interest earned?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"As per Section 194A of Income Tax Act 1961, TDS shall be deducted at the rate of 10% when interest payable or reinvested on FD & RD per customer, across all Branches, is likely to exceed Rs. 40,000/- (or Rs. 50,000/- for Senior Citizens) in a Financial Year, unless otherwise exempt under law.",When will the bank deduct tax on your interest earned?,,,,,,,
12,Will Tax be deducted from the interest earned or Principal Amount of the FD/s?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"TDS / Overhead tax (OHT) will be deducted from the interest paid on the FD/s but if the interest is not sufficient to recover TDS/OHT, the same will be recovered from the principal amount of the FD/s and be paid to the government.",Will Tax be deducted from the interest earned or Principal Amount of the FD/s?,,,,,,,
13,What is a Sweep-In facility?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"The Sweep-In facility enables customers to link existing Term Deposit to Savings or Current Accounts held with the bank. In case of an emergency, the shortfall in the account is swept in from the linked Term Deposit in the units of Rs. 1/-, thereby giving customers the convenience of getting payments processed with ease. 

Let's take an example to illustrate how the Sweep-In facility works: Mr. Ramesh has availed Sweep-In facility on his existing Term Deposit of ₹50,000/- held with the bank. Let’s assume that on a particular day, the balance in his Savings Account is ₹30,000/-, and he issues a cheque for ₹50,000/- in his account and it has now come for clearing. In this instance the shortfall of ₹20,000 (Account Balance – Obligation Amount issued as a cheque), will be utilized from the linked FD account to clear the cheque.",What is a Sweep-In facility?,,,,,,,
14,What is a Sweep-Out facility?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,The Sweep-Out facility enables customers to earn higher interest on the additional balances maintained in the Savings Account /Current Account by automatically booking the pre-defined amount as a Fixed Deposit scheme.,What is a Sweep-Out facility?,,,,,,,
15,"What is the procedure to enable Sweep-In, for deposits that are booked under the Sweep-Out option? (For savings accounts where this option is available)",https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"FD accounts that are booked through Sweep-Out option, the Sweep-In is enabled automatically.","What is the procedure to enable Sweep-In, for deposits that are booked under the Sweep-Out option? (For savings accounts where this option is available)",,,,,,,
16,Can the Sweep-In facility be availed for multiple FDs held with the bank?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"Yes, the Sweep-In facility can be availed for all or multiple deposits held with the bank, except on Tax Saver Deposit.",Can the Sweep-In facility be availed for multiple FDs held with the bank?,,,,,,,
17,"In case of enablement of a Sweep-In facility due to shortfall of funds in the savings account, what is the order of deposit breakage for honouring the obligation?",https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,The system will first Sweep-In amount from the deposit that was booked last or recently.,"In case of enablement of a Sweep-In facility due to shortfall of funds in the savings account, what is the order of deposit breakage for honouring the obligation?",,,,,,,
18,"Will both, principal and interest be considered for a Sweep-In facility?",https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,Only the deposit principal amount will be considered for a Sweep-In facility.,"Will both, principal and interest be considered for a Sweep-In facility?",,,,,,,
19,Can the Bank deduct TDS on the FD accounts booked?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"One of the many Fixed Deposit tax benefits is that the Bank can deduct TDS on the FDs booked. The entity would need to submit either Form 15G OR Certificate of Tax exemption issued under Section 197 of Income Tax Act, 1961. However, PAN would be mandatory. In absence of PAN, Form 15G and other exemption certificates would be invalid & penal TDS would be applicable.",Can the Bank deduct TDS on the FD accounts booked?,,,,,,,
20,How can I book FDs above ₹2 Crore?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"If you would like to open Fixed Deposits with a value of more than or equal to INR 2 Cr, please visit our nearest IDFC FIRST Bank Branch.",How can I book FDs above ₹2 Crore?,,,,,,,
21,How is the interest calculated on an FD scheme?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"Interest on deposits are calculated either as simple interest, or compound interest in case of re-investment. You can use our Fixed Deposit interest calculator to understand the returns you might receive.",How is the interest calculated on an FD scheme?,,,,,,,
22,What are the interest rates in case of pre-mature withdrawal?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"The interest rates applicable on Fixed Deposits withdrawn before the maturity date, as stated by the RBI, shall be as under:

· Interest shall be paid at the rate applicable to the amount and period for which the deposit remained with the bank and not at the contracted rate.

· No interest shall be paid, where premature withdrawal of deposits take place before completion of the minimum period specified i.e. 7 days.",What are the interest rates in case of pre-mature withdrawal?,,,,,,,
23,What are the FD rates on overdue domestic deposits?,https://www.idfcfirstbank.com/personal-banking/deposits/fixed-deposit#faqs,"If a Fixed Deposit matures and proceeds are unpaid, the amount left unclaimed with the bank shall attract rate of interest as applicable to savings account or the contracted rate of interest on the matured FD, whichever is lower.",What are the FD rates on overdue domestic deposits?,,,,,,,
24,What is a Recurring Deposit (RD)?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,A Recurring Deposit is a term deposit that allows customers to build up savings through periodic deposits for a pre-specified period. Interest rates on RDs are generally higher than the interest rates offered by a Savings Account. ,What is a Recurring Deposit (RD)?,,,,,,,
25,What are the various modes of operation available for booking RD?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,"A RD can be opened in different modes of operation – Single, Joint, Either or Survivor, Former or Survivor OR Any or Survivor. ",What are the various modes of operation available for booking RD?,,,,,,,
26,How often is interest paid out on RDs?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,Interest is paid at maturity of the RD. ,How often is interest paid out on RDs?,,,,,,,
27,Is nomination facility available in RDs?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,"Yes, nomination facility is available for Recurring Deposits. However there can be only one nominee for a deposit account whether held singly or jointly.  ",Is nomination facility available in RDs?,,,,,,,
28,What is the minimum and maximum monthly instalment amount to be invested in an RD at IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,"The minimum deposit amount per month is Rs. 100 and max. is Rs. 75,000/-",What is the minimum and maximum monthly instalment amount to be invested in an RD at IDFC FIRST Bank?,,,,,,,
29,Is the interest earned on my Recurring Deposit taxable?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,"As per Section 194A of Income Tax Act 1961, TDS shall be deducted at the rate of 10% when interest payable or reinvested on Fixed Deposit & Recurring Deposit per customer, across all Branches, is likely to exceed Rs. 40,000/- (or Rs. 50,000/- for Senior Citizens) in a Financial Year, unless otherwise exempt under law.",Is the interest earned on my Recurring Deposit taxable?,,,,,,,
30,What is the minimum and maximum tenure for recurring deposits with IDFC FIRST Bank?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,For RDs the minimum tenure is 6 months while the maximum tenure is 10 years at the Bank. ,What is the minimum and maximum tenure for recurring deposits with IDFC FIRST Bank?,,,,,,,
31,How much interest can I earn through a Recurring Deposit account?,https://www.idfcfirstbank.com/personal-banking/deposits/recurring-deposit,Please click here to check interest rate applicable for Recurring Deposit.eed a guarantor to apply for house loan. ,How much interest can I earn through a Recurring Deposit account?,,,,,,,
